Date,Close
2024-04-23 00:00:00-04:00,
2024-04-24 00:00:00-04:00,
2024-04-25 00:00:00-04:00,
2024-04-26 00:00:00-04:00,
2024-04-29 00:00:00-04:00,
2024-04-30 00:00:00-04:00,
2024-05-01 00:00:00-04:00,
2024-05-02 00:00:00-04:00,
2024-05-03 00:00:00-04:00,
2024-05-06 00:00:00-04:00,
2024-05-07 00:00:00-04:00,
2024-05-08 00:00:00-04:00,
2024-05-09 00:00:00-04:00,
2024-05-10 00:00:00-04:00,
2024-05-13 00:00:00-04:00,
2024-05-14 00:00:00-04:00,
2024-05-15 00:00:00-04:00,
2024-05-16 00:00:00-04:00,
2024-05-17 00:00:00-04:00,
2024-05-20 00:00:00-04:00,0.01660090709468293
2024-05-21 00:00:00-04:00,0.016409865046435025
2024-05-22 00:00:00-04:00,0.015888493530174273
2024-05-23 00:00:00-04:00,0.015611402686282597
2024-05-24 00:00:00-04:00,0.013674761945293636
2024-05-28 00:00:00-04:00,0.013682656021873737
2024-05-29 00:00:00-04:00,0.011225175692352313
2024-05-30 00:00:00-04:00,0.010695535426479079
2024-05-31 00:00:00-04:00,0.008299569135306361
2024-06-03 00:00:00-04:00,0.008496146191732638
2024-06-04 00:00:00-04:00,0.007907899412659479
2024-06-05 00:00:00-04:00,0.0084364171511144
2024-06-06 00:00:00-04:00,0.00979941064367383
2024-06-07 00:00:00-04:00,0.009598350429194243
2024-06-10 00:00:00-04:00,0.00999277596133551
2024-06-11 00:00:00-04:00,0.009930305857767
2024-06-12 00:00:00-04:00,0.009922652825818067
2024-06-13 00:00:00-04:00,0.010512715429782075
2024-06-14 00:00:00-04:00,0.010118400255462845
2024-06-17 00:00:00-04:00,0.010041486726521798
2024-06-18 00:00:00-04:00,0.010058599698132657
2024-06-20 00:00:00-04:00,0.010827709525990346
2024-06-21 00:00:00-04:00,0.011340161898437121
2024-06-24 00:00:00-04:00,0.011877280404666539
2024-06-25 00:00:00-04:00,0.011872140842947658
2024-06-26 00:00:00-04:00,0.014494600133119902
2024-06-27 00:00:00-04:00,0.01504839339279063
2024-06-28 00:00:00-04:00,0.015714133955159616
2024-07-01 00:00:00-04:00,0.01539458584255491
2024-07-02 00:00:00-04:00,0.015473061111972707
2024-07-03 00:00:00-04:00,0.01598361557520612
2024-07-05 00:00:00-04:00,0.01601309137007864
2024-07-08 00:00:00-04:00,0.015690197911953106
2024-07-09 00:00:00-04:00,0.015612717419814468
2024-07-10 00:00:00-04:00,0.015401669956356213
2024-07-11 00:00:00-04:00,0.016554034741429014
2024-07-12 00:00:00-04:00,0.016569105881001203
2024-07-15 00:00:00-04:00,0.01621785900674487
2024-07-16 00:00:00-04:00,0.016199854394755672
2024-07-17 00:00:00-04:00,0.01744968777148166
2024-07-18 00:00:00-04:00,0.018149415318318877
2024-07-19 00:00:00-04:00,0.017682758897495567
2024-07-22 00:00:00-04:00,0.017245870170554414
2024-07-23 00:00:00-04:00,0.017476151442842577
2024-07-24 00:00:00-04:00,0.018706736889208344
2024-07-25 00:00:00-04:00,0.016122676024654666
2024-07-26 00:00:00-04:00,0.015598348809708512
2024-07-29 00:00:00-04:00,0.014995333454484816
2024-07-30 00:00:00-04:00,0.014018071565407852
2024-07-31 00:00:00-04:00,0.01535588135357747
2024-08-01 00:00:00-04:00,0.015481446454956038
2024-08-02 00:00:00-04:00,0.02399201375864957
2024-08-05 00:00:00-04:00,0.025028900694300065
2024-08-06 00:00:00-04:00,0.025177378560302107
2024-08-07 00:00:00-04:00,0.02526100825708011
2024-08-08 00:00:00-04:00,0.025807958094052834
2024-08-09 00:00:00-04:00,0.025996544413207374
2024-08-12 00:00:00-04:00,0.026031647567763258
2024-08-13 00:00:00-04:00,0.026693731305491412
2024-08-14 00:00:00-04:00,0.02627162307844858
2024-08-15 00:00:00-04:00,0.02805291091757393
2024-08-16 00:00:00-04:00,0.028051543325520987
2024-08-19 00:00:00-04:00,0.028101614170131434
2024-08-20 00:00:00-04:00,0.027651346162151678
