Date,returns,volatility
2024-05-20 00:00:00-04:00,0.39850246884633017,0.25356696719588306
2024-05-21 00:00:00-04:00,0.41833243958477806,0.24799444793062514
2024-05-22 00:00:00-04:00,0.4279512531290688,0.23278652462072813
2024-05-23 00:00:00-04:00,0.374272903741821,0.22470404183762244
2024-05-24 00:00:00-04:00,0.42056498833577294,0.16821402857603818
2024-05-28 00:00:00-04:00,0.4654324085101267,0.16844429146437861
2024-05-29 00:00:00-04:00,0.42506665780796915,0.09676187073111625
2024-05-30 00:00:00-04:00,0.3576884905083769,0.08131275566821128
2024-05-31 00:00:00-04:00,0.3518325392311044,0.011424642350126774
2024-06-03 00:00:00-04:00,0.47985789141651236,0.017158612667601825
2024-06-04 00:00:00-04:00,0.45522918494308756,0.0
2024-06-05 00:00:00-04:00,0.48009150812970913,0.015416371979789512
2024-06-06 00:00:00-04:00,0.5263943246745403,0.055173627334655584
2024-06-07 00:00:00-04:00,0.41041642319961763,0.0493088874570215
2024-06-10 00:00:00-04:00,0.49993339474426657,0.060813914212778764
2024-06-11 00:00:00-04:00,0.43280867751576496,0.05899171926234331
2024-06-12 00:00:00-04:00,0.41980668567823504,0.0587684874222108
2024-06-13 00:00:00-04:00,0.35034107111019597,0.07598006601683965
2024-06-14 00:00:00-04:00,0.42405923608557883,0.06447825829634196
2024-06-17 00:00:00-04:00,0.43886472322326,0.06223476203091882
2024-06-18 00:00:00-04:00,0.39606505156345667,0.06273393153240775
2024-06-20 00:00:00-04:00,0.5143507352111247,0.08516815149677193
2024-06-21 00:00:00-04:00,0.5048833451829571,0.10011591165835249
2024-06-24 00:00:00-04:00,0.33988931387273114,0.11578316005283162
2024-06-25 00:00:00-04:00,0.4482720475220594,0.11563324380687362
2024-06-26 00:00:00-04:00,0.6146451254158121,0.1921279477260655
2024-06-27 00:00:00-04:00,0.5329746105960453,0.20828158320468304
2024-06-28 00:00:00-04:00,0.3175263188157962,0.2277006176187757
2024-07-01 00:00:00-04:00,0.5260081885961113,0.21837969570657012
2024-07-02 00:00:00-04:00,0.49622682566207027,0.22066874649244483
2024-07-03 00:00:00-04:00,0.3709709775769098,0.23556114640348275
2024-07-05 00:00:00-04:00,0.4866744730990791,0.23642092798713066
2024-07-08 00:00:00-04:00,0.41153176928048546,0.22700242545047755
2024-07-09 00:00:00-04:00,0.429669345072957,0.22474239139470803
2024-07-10 00:00:00-04:00,0.4392442302301684,0.21858633273227773
2024-07-11 00:00:00-04:00,0.31526017796245115,0.25219974414781104
2024-07-12 00:00:00-04:00,0.4147718065843559,0.25263935530349985
2024-07-15 00:00:00-04:00,0.3850445077990217,0.24239380992955617
2024-07-16 00:00:00-04:00,0.43590031632938164,0.24186863210565063
2024-07-17 00:00:00-04:00,0.30263610639321564,0.2783251118913478
2024-07-18 00:00:00-04:00,0.3223348369303885,0.29873551510332663
2024-07-19 00:00:00-04:00,0.41237119060422867,0.285123580353131
2024-07-22 00:00:00-04:00,0.41335879589333124,0.2723799416098196
2024-07-23 00:00:00-04:00,0.5293726685570866,0.27909703262733576
2024-07-24 00:00:00-04:00,0.2856308836109251,0.3149920681460122
2024-07-25 00:00:00-04:00,0.4026112542063633,0.23961741066935732
2024-07-26 00:00:00-04:00,0.498782961225894,0.22432327237161992
2024-07-29 00:00:00-04:00,0.44677502470059727,0.20673387404256777
2024-07-30 00:00:00-04:00,0.3896618233892679,0.1782280516122251
2024-07-31 00:00:00-04:00,0.5668666545758272,0.2172507216798738
2024-08-01 00:00:00-04:00,0.35420702024251977,0.2209133391658848
2024-08-02 00:00:00-04:00,0.00927750471507277,0.46915868982588793
2024-08-05 00:00:00-04:00,0.23293666150935383,0.49940371953426266
2024-08-06 00:00:00-04:00,0.4554397796409805,0.503734681101881
2024-08-07 00:00:00-04:00,0.4532261051765134,0.5061740817506761
2024-08-08 00:00:00-04:00,0.5173013790009237,0.5221281009397142
2024-08-09 00:00:00-04:00,0.4612822162687448,0.5276289888661724
2024-08-12 00:00:00-04:00,0.42447026791493425,0.5286529153097381
2024-08-13 00:00:00-04:00,0.5265983534950237,0.5479652835424974
2024-08-14 00:00:00-04:00,0.42482820200027815,0.5356527782652941
2024-08-15 00:00:00-04:00,0.638590994425742,0.5876112915430356
2024-08-16 00:00:00-04:00,0.4142309187637133,0.5875714001519416
2024-08-19 00:00:00-04:00,0.459734805668547,0.5890319202247655
2024-08-20 00:00:00-04:00,0.44614374913589877,0.5758980202691885
2024-08-21 00:00:00-04:00,0.46128385723343035,0.5535912794929413
2024-08-22 00:00:00-04:00,0.32302534003810085,0.5663407824189172
2024-08-23 00:00:00-04:00,0.4531262480398924,0.560476503130749
2024-08-26 00:00:00-04:00,0.3869636813214117,0.5611579991345297
2024-08-27 00:00:00-04:00,0.36375943207658934,0.5638939128443331
2024-08-28 00:00:00-04:00,0.36452396992485203,0.5373640281953134
2024-08-29 00:00:00-04:00,0.46535042579276,0.5369235302661338
2024-08-30 00:00:00-04:00,0.6053517431484379,0.3205963408227479
2024-09-03 00:00:00-04:00,0.3683224785941988,0.24450988853009664
2024-09-04 00:00:00-04:00,0.34941480025615346,0.2641147438928719
2024-09-05 00:00:00-04:00,0.5540111942587751,0.285954557955587
2024-09-06 00:00:00-04:00,0.25411075445898157,0.34123575401833006
2024-09-09 00:00:00-04:00,0.5401189318023685,0.35766494778408486
2024-09-10 00:00:00-04:00,0.5413756469919093,0.3726374405560847
2024-09-11 00:00:00-04:00,0.5605588360676017,0.3831386542392341
2024-09-12 00:00:00-04:00,0.49260715194441906,0.38493452437010156
2024-09-13 00:00:00-04:00,0.4154580142838108,0.3246170741916633
2024-09-16 00:00:00-04:00,0.38753144093008557,0.3283326294199914
2024-09-17 00:00:00-04:00,0.4798325420527228,0.33042460154654507
2024-09-18 00:00:00-04:00,0.4169812692765732,0.3312776306691022
2024-09-19 00:00:00-04:00,0.5165224374619715,0.34054541713107067
2024-09-20 00:00:00-04:00,0.4719511806038086,0.3152823294932152
2024-09-23 00:00:00-04:00,0.48525623713537236,0.317476283373594
2024-09-24 00:00:00-04:00,0.43044109815597525,0.3106665885355203
2024-09-25 00:00:00-04:00,0.393290540501999,0.30251748478049
2024-09-26 00:00:00-04:00,0.39451665229722743,0.2940561097766189
2024-09-27 00:00:00-04:00,0.3488410381933635,0.31383183745844634
2024-09-30 00:00:00-04:00,0.38683850756961863,0.27177330674015765
2024-10-01 00:00:00-04:00,0.3977404227704328,0.26515460403273644
2024-10-02 00:00:00-04:00,0.41893475691053067,0.24877157439589276
2024-10-03 00:00:00-04:00,0.35615570913829403,0.23586922898881962
2024-10-04 00:00:00-04:00,0.5477946158602522,0.1822229348417293
2024-10-07 00:00:00-04:00,0.2823816726868813,0.21917019538304167
2024-10-08 00:00:00-04:00,0.4791466936341756,0.19811960571596987
2024-10-09 00:00:00-04:00,0.49245551666969994,0.16731784010784706
2024-10-10 00:00:00-04:00,0.4666118293613208,0.16077388037178292
2024-10-11 00:00:00-04:00,0.48395030078642537,0.16744692694558677
2024-10-14 00:00:00-04:00,0.39612349173533073,0.16573508527213388
2024-10-15 00:00:00-04:00,0.43228896723188587,0.15980315576079335
2024-10-16 00:00:00-04:00,0.40813262509267095,0.16056596152676805
2024-10-17 00:00:00-04:00,0.44481317355432565,0.1409740225216085
2024-10-18 00:00:00-04:00,0.4656232153027621,0.13952925744940953
2024-10-21 00:00:00-04:00,0.43049204592246737,0.12959876564536277
2024-10-22 00:00:00-04:00,0.44437212511324475,0.13067925637648542
2024-10-23 00:00:00-04:00,0.30294982441418966,0.16501232372075647
2024-10-24 00:00:00-04:00,0.47161540364138277,0.16963364739339093
2024-10-25 00:00:00-04:00,0.46559616488458067,0.15884026788511652
2024-10-28 00:00:00-04:00,0.4426989280243975,0.15449277379984205
2024-10-29 00:00:00-04:00,0.49027664007335675,0.15928291302181236
2024-10-30 00:00:00-04:00,0.47598301773754537,0.16212430658458926
2024-10-31 00:00:00-04:00,0.27174542313094874,0.21102542258394275
