date,total_value,cash,positions
2026-02-04,96306.4789831098,34.10649393127187,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 3.495736489672263}"
2026-02-05,92917.49783180513,34.10649393127187,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 3.495736489672263}"
2026-02-06,94980.6361826998,34.10649393127187,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 3.495736489672263}"
2026-02-09,95408.52154795328,34.10649393127187,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 3.495736489672263}"
2026-02-10,94802.25105696174,34.10649393127187,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 3.495736489672263}"
2026-02-11,93761.99188081543,34.10649393127187,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 3.495736489672263}"
2026-02-12,92908.55237264348,34.10649393127187,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 3.495736489672263}"
2026-02-13,93166.63303501677,34.10649393127187,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 3.495736489672263}"
2026-02-17,93136.84772584711,34.10649393127187,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 3.495736489672263}"
2026-02-18,93184.61992461038,34.10649393127187,"{'AAPL': 44.32678559108919, 'MSFT': 24.80283119231542, 'GOOGL': 29.073329041683877, 'AMZN': 39.39937962863755, 'NVDA': 43.55399423276425, 'TLT': 173.62417053897866, 'BND': 204.63228678828642, 'BTC-USD': 0.13560851939334256, 'ETH-USD': 3.495736489672263}"
