Price,Close,High,Low,Open,Volume
Ticker,PG,PG,PG,PG,PG
Date,,,,,
2018-01-02,74.8235092163086,75.88003430011945,74.74096937489578,75.87177842676229,7558900
2018-01-03,74.73269653320312,75.18666870659061,74.71618479023788,74.88952660444897,5863600
2018-01-04,75.2609634399414,75.74795283089412,74.79047949555269,74.97207089468257,6322500
2018-01-05,75.31050109863281,75.36003004297433,74.75747721634627,75.33526242211036,5949700
2018-01-08,75.70669555664062,75.74796232691655,75.05462013137563,75.05462013137563,4860700
2018-01-09,75.15364837646484,75.64889354768005,75.12063119206597,75.50031936657709,6630100
2018-01-10,74.67491912841797,75.03810191038967,74.2952309006225,75.03810191038967,6564700
2018-01-11,74.41078186035156,74.71617981363426,74.22093461320515,74.61713455197906,5469700
2018-01-12,73.96505737304688,74.56760369044159,73.75044881605083,74.32824011605797,8111000
2018-01-16,74.46856689453125,74.92253907750377,73.98982709658792,74.40253251604564,9465300
2018-01-17,75.2774658203125,75.71493885375412,74.64190224663078,74.74920338838913,8345500
2018-01-18,75.00299072265625,75.39389222051321,74.57882033717408,75.05289088139834,7699800
2018-01-19,75.74324035644531,75.90126605794933,75.05292490243706,75.08619380514287,9364000
2018-01-22,76.42523193359375,76.45018202262104,75.49372175574695,75.58520964577627,8658000
2018-01-23,74.06318664550781,75.02795924219232,73.68891632678059,74.70359543986457,18756300
2018-01-24,73.44771575927734,74.15466863449676,72.94037624301974,74.07149322889973,15141900
2018-01-25,73.47267150878906,74.06318647618241,73.19821422348824,73.75545394976265,11264400
2018-01-26,72.96534729003906,73.33129249733186,72.54949556031112,73.33129249733186,11503100
2018-01-29,72.24176025390625,72.97365698610523,72.1003721940599,72.93207562194702,11685800
2018-01-30,72.31660461425781,72.72414382934316,72.050459792872,72.20848546179869,9662900
2018-01-31,71.80924987792969,72.69917837659838,71.59301161872007,72.20015138976576,11798100
2018-02-01,71.4017333984375,71.94234186068894,71.16053865849784,71.65124694882837,8606300
2018-02-02,70.07099914550781,71.20211607851475,70.03773025390264,71.16052837766021,12846300
2018-02-05,67.41787719726562,70.17081983243905,66.61944267548216,69.85476847177505,17462200
2018-02-06,68.5157241821289,68.57394316663137,66.63607905653899,66.97707415279814,19955500
2018-02-07,68.06661224365234,69.35575522289794,68.04998096541821,68.44920144237373,11851800
2018-02-08,66.71923828125,68.38264484484978,66.6610193053397,68.22461919078222,14596100
2018-02-09,66.46974182128906,67.39293320870091,65.36357464964868,67.3513518411725,18838800
2018-02-12,67.64244079589844,67.92521691342961,67.01866322975123,67.04361331713415,10769000
2018-02-13,67.7838363647461,68.0583000471544,67.29313433746539,67.49274140403769,9278700
2018-02-14,67.10181427001953,67.58420364776481,66.7608129130435,67.41785920092583,9412000
2018-02-15,68.54067993164062,68.54067993164062,66.9521233989937,67.34302501049922,8910700
2018-02-16,68.69869995117188,69.23930843324284,68.30779833574528,68.37433613100798,10371700
2018-02-20,67.6507568359375,68.38265994660746,67.42619969223259,68.35770985790624,7087700
2018-02-21,66.73587799072266,68.04165205439034,66.69429662861201,67.62580036092429,9134500
2018-02-22,67.23489379882812,67.60084529263477,66.6776540935446,66.92716762939328,10277700
2018-02-23,67.40955352783203,67.46777250374215,66.93548291102324,67.37628463511304,10321800
2018-02-26,67.89195251464844,67.94185903811537,67.40956932069048,67.74224563503556,9422200
2018-02-27,66.98538970947266,68.19967585967333,66.96043962381128,68.10818798198622,8919600
2018-02-28,65.30533599853516,67.19330591790552,65.28870472560948,67.1018180533338,16862000
2018-03-01,65.45506286621094,65.93745241876924,64.78970387391126,65.20555562362136,13504200
2018-03-02,66.12042236328125,66.25349795722268,65.2221811403573,65.27208766078213,9317700
2018-03-05,66.77745819091797,66.86062725118242,65.8293169440395,65.93743608784405,8177000
2018-03-06,66.55290985107422,66.88559251302004,66.01230766398051,66.87728004688205,9085300
2018-03-07,65.837646484375,66.2368605768682,65.62140181612826,66.14537269204817,9089500
2018-03-08,66.51132202148438,66.52795329753835,65.72119998296273,65.8459567622444,7951700
2018-03-09,66.77745819091797,67.16004094444853,66.45309441411179,66.6859703210093,7662200
2018-03-12,66.4198226928711,67.05191894567388,66.33665363614784,66.72755518267861,7182000
2018-03-13,66.30339813232422,66.69429975778561,66.00398439134925,66.5362740763284,9620200
2018-03-14,65.70457458496094,66.4032024588094,65.5881366059862,66.27845201376071,8898100
2018-03-15,65.43009948730469,65.82100106790114,65.3219803386815,65.77941336321915,6996900
2018-03-16,65.67962646484375,66.02894041223945,65.57150094870165,65.64635756336881,17715400
2018-03-19,65.42178344726562,66.17863013705059,65.09741332833778,65.67960943510333,8368200
2018-03-20,65.13068389892578,65.78773027248204,64.83958901074077,65.48831657452241,8465500
2018-03-21,64.07442474365234,65.07246619275699,63.94134916622891,64.91444687630764,9822800
