Price,Close,High,Low,Open,Volume
Ticker,COST,COST,COST,COST,COST
Date,,,,,
2018-01-02,169.421630859375,171.54478586954653,168.0001861027527,168.44100461052847,2509300
2018-01-03,171.45481872558594,172.82228674160544,169.47559701116867,169.87144409955835,3364400
2018-01-04,170.1233367919922,173.00220586120386,168.73787204374213,172.73230888306796,3525800
2018-01-05,168.90884399414062,170.64515734584967,167.98220802542474,170.4202454364034,2819000
2018-01-08,169.56552124023438,170.01534489548678,168.45895889202149,168.52194079297053,1961800
2018-01-09,167.59532165527344,170.30326933381892,167.46937155819208,170.04236387930905,2241900
2018-01-10,166.81265258789062,167.55037019249224,165.42720135520702,167.10953793650842,2609500
2018-01-11,170.37527465820312,171.53581407506562,166.4618019285454,166.82165549395904,4678600
2018-01-12,172.58834838867188,172.89422520025911,170.93300052034508,171.02297074847283,3499500
2018-01-16,172.3094940185547,173.48803011172794,171.73372013610623,173.04721159819326,2006600
2018-01-17,172.9932098388672,173.2361185049137,172.13854746874065,173.209130178412,2585200
2018-01-18,172.29150390625,173.65897207792744,172.03061214694938,172.93925126506917,1908000
2018-01-19,172.9932098388672,173.30809195142862,171.9766175097305,172.47142637481363,2353800
2018-01-22,174.87347412109375,175.2153308142398,172.78628546700813,173.1821325377851,3009100
2018-01-23,174.00978088378906,174.62154819230938,172.7952652529865,174.18071606892752,2316400
2018-01-24,174.74754333496094,175.20635863903607,172.66934598377662,174.91846483665256,2799200
2018-01-25,178.08518981933594,178.5350134934073,175.19732951921426,175.4312328878209,3558700
2018-01-26,178.94891357421875,179.2367936778172,176.05204710423817,177.90531902766588,2756200
2018-01-29,178.41807556152344,179.82152328240792,177.73433476491738,178.4630469486436,2031100
2018-01-30,178.04920959472656,178.8408899247236,176.40285330375062,177.76131585470648,2285000
2018-01-31,175.3143310546875,178.553068046758,174.6216122563411,177.6264320766027,2682300
2018-02-01,174.0548095703125,175.79112272240678,173.128173708127,174.00083291465617,2096600
2018-02-02,171.82369995117188,174.1717807347052,171.65276471088075,172.05760338510382,2386600
2018-02-05,164.42860412597656,172.8223183116269,164.21268374899444,171.52682350480148,3407200
2018-02-06,166.44378662109375,166.65071543935008,158.51789398116532,160.95594485742743,4067900
2018-02-07,164.806396484375,167.50533847282367,164.69844319764627,166.0749025135528,2594800
2018-02-08,160.68601989746094,165.99393397509206,160.61404645939612,165.99393397509206,3013200
2018-02-09,162.5842742919922,163.79880373614483,158.14900560628098,161.73860356525233,2777200
2018-02-12,162.89015197753906,164.86937346257926,162.278398350039,163.59187583380304,1596200
2018-02-13,165.67005920410156,166.0749115063142,161.98151319000857,162.13445159699864,2123900
2018-02-14,168.5489501953125,169.5655424486136,164.01471949583433,164.3745867015637,2191000
2018-02-15,172.7254638671875,172.93294639901606,168.29638488520985,169.6674983869726,2072900
2018-02-16,172.79763793945312,175.55792378704382,172.32856552796392,172.69841134787399,1969300
2018-02-20,169.694580078125,172.72548539087853,169.25258194277075,171.27317630842856,2202100
2018-02-21,167.5567169189453,170.6146828305831,167.50259582101194,170.06442872781562,1747200
2018-02-22,168.31439208984375,169.8839723061623,167.47548778122976,168.09790775949853,1360100
2018-02-23,171.2190399169922,171.2551298213076,167.70103128084511,169.43297505281487,1561700
2018-02-26,173.92520141601562,174.18680504252143,171.32727892410725,171.4806403682053,1852400
2018-02-27,171.4806365966797,176.36977234903458,171.4806365966797,174.50251215797738,2170400
2018-02-28,172.20228576660156,174.7821634939077,172.19327017216844,172.83373524784497,2179800
2018-03-01,170.51541137695312,174.08755430786928,168.97290543452777,172.57209514302917,2447700
2018-03-02,170.78607177734375,171.74224785812856,168.88273521047833,169.11726455118907,2275900
2018-03-05,172.7254638671875,173.17649130535645,169.13528931335685,169.99223869302486,2155800
2018-03-06,172.70742797851562,173.42004525514716,171.4535722851088,173.32081867088053,2458700
2018-03-07,169.00901794433594,171.16492874928994,166.6817144946099,170.67782512691304,5157100
2018-03-08,167.50250244140625,168.0978617153052,165.14813964395066,167.9535296917674,6061500
2018-03-09,170.10946655273438,170.16358762913563,166.17650775119105,168.2331912400084,3288100
2018-03-12,170.8221435546875,171.48065358646878,169.1804106831371,169.8298913561782,2394100
2018-03-13,169.09918212890625,171.49863719859695,168.5038227164043,171.43550052626267,1964300
2018-03-14,166.54638671875,170.4973774919438,165.5270603620919,170.28990873621967,2866000
2018-03-15,167.3402099609375,168.2963997764441,166.12244402868978,166.71780360317513,1811300
2018-03-16,167.66494750976562,168.00773279197344,166.4020760978411,167.9445823392442,3569400
2018-03-19,166.1134033203125,167.76416542899756,164.90465306507824,167.44845447447446,2493200
2018-03-20,168.99996948242188,169.20743822898658,166.51931882356962,166.97034621608822,1852500
2018-03-21,167.8453826904297,169.48711565485803,167.83635333117869,168.53093954441655,2048300
2018-03-22,164.75132751464844,167.37631091372404,164.62504036302283,166.78996689496665,2489800
2018-03-23,163.12759399414062,166.38401251774928,163.11857840087407,165.32861000645423,2351800
2018-03-26,168.88272094726562,169.18941631250806,164.4806885924331,165.10310868112637,2036600
2018-03-27,165.2113494873047,169.27962589686305,164.22811294938313,169.08117271765215,2495300
2018-03-28,165.62631225585938,166.53738281307216,163.47941704001704,165.62631225585938,2168700
2018-03-29,169.9741973876953,170.1636349720666,166.3479466172995,166.64562638458847,3016000
2018-04-02,164.85055541992188,168.60310761826736,163.31706463398535,168.60310761826736,3599200
2018-04-03,164.7242431640625,166.13144658292376,163.58765896365887,165.5541320068713,2287000
2018-04-04,167.34921264648438,168.09791979247038,163.2177999540784,163.3891925707126,2111000
2018-04-05,168.0077362060547,168.68427742567638,166.81701705267267,168.41365818497445,1933600
2018-04-06,165.9420166015625,168.90977100785392,165.16624887840578,167.1868429374077,2259000
2018-04-09,166.34800720214844,169.04514351343826,165.52713364468178,167.0606247730046,1946000
2018-04-10,165.57220458984375,167.75517612497728,164.3273642357546,167.55672291594084,2526000
2018-04-11,166.5644073486328,168.1159426502042,164.37242086998754,164.39948141187725,1697300
2018-04-12,170.3259735107422,171.4264675716054,167.3221297353681,167.3311453271516,2841600
2018-04-13,170.40721130371094,171.23710024201674,168.69329856576627,171.21905528823902,1744400
2018-04-16,175.5218505859375,176.62235870578448,172.63527755202165,173.05021511338077,3026800
2018-04-17,176.80276489257812,177.59657762931394,175.65715128647363,176.49606952220867,2160500
2018-04-18,177.26278686523438,178.39938474206312,176.91098603770743,177.073363061939,1663100
2018-04-19,175.9638671875,177.16358816856467,174.54763429720714,176.94710378786914,2427600
2018-04-20,174.60177612304688,176.50511286015637,173.87111372291437,175.3865596247791,2252800
2018-04-23,174.4122772216797,175.34139243741203,173.42902716337267,174.8272146649179,1618000
2018-04-24,173.65460205078125,176.22546429103096,172.42780670758657,175.48577258863014,1598900
2018-04-25,174.9716033935547,175.60303911884074,172.6442999224148,173.4020227927581,1311700
2018-04-26,176.13528442382812,177.19971666302212,174.40334017977267,175.1069420987868,1445800
2018-04-27,177.32595825195312,177.63265362206724,175.4767429086508,175.85560432425044,1563100
2018-04-30,177.8491973876953,179.5450517167649,177.15461106542597,177.79507628076226,2165000
2018-05-01,177.29891967773438,177.77700774459188,174.55666466650553,177.24479857797957,1413200
2018-05-02,174.99864196777344,176.4238902911815,173.6004541888893,176.3336792999252,2498100
2018-05-03,174.10565185546875,174.98967577369197,171.5528342420239,174.92652530913233,1815500
2018-05-04,176.07211303710938,177.16359185051022,172.54507477613544,173.95227833696734,1704500
2018-05-07,174.15069580078125,176.62233088400276,173.3839574867579,176.60428593418348,2361900
2018-05-08,175.431640625,176.08112128200756,173.57340965355402,174.08758757546252,1908600
2018-05-09,176.8388671875,177.18165251347273,174.23192862526454,175.13398368159886,1999100
2018-05-10,176.82070922851562,178.1596393809061,175.6898527947129,177.36352583850086,1874200
2018-05-11,177.1011962890625,177.30022816720356,176.02463233563026,176.71218822095219,1296300
2018-05-14,177.2097625732422,178.46727459936204,176.79360125756696,177.2821390544206,1440900
2018-05-15,176.84788513183594,177.95160234308617,174.83948258706275,176.1965105873472,2319600
