Price,Close,High,Low,Open,Volume
Ticker,UNH,UNH,UNH,UNH,UNH
Date,,,,,
2018-01-02,198.53526306152344,199.69328961320167,197.4939281528793,198.40958565515672,3485000
2018-01-03,200.61793518066406,200.9141777402565,197.96075160619253,198.9482131070229,2417600
2018-01-04,201.4886932373047,202.96990594858084,201.23733841923544,201.3899457232196,2749100
2018-01-05,205.33084106445312,205.6181115329355,201.7310703298213,202.15299026927363,2432800
2018-01-08,201.7669677734375,205.31289233812473,201.63231830548133,204.79222489901164,2850800
2018-01-09,202.7724151611328,203.4456899445726,200.45634826236275,201.76698217001828,2672200
2018-01-10,201.2643280029297,201.99146277783345,200.21402069497822,201.82988336021677,2311600
2018-01-11,202.3325958251953,202.80837571378714,200.8154806832342,201.24637283373323,2543600
2018-01-12,205.25006103515625,206.38115773793095,203.3469420342879,204.18179618918603,3943800
2018-01-16,209.07432556152344,210.9595010500327,207.59312603327686,209.4962456594487,6852600
2018-01-17,214.03855895996094,214.51435246088482,209.92710588737407,210.66321260814988,5124800
2018-01-18,218.28469848632812,218.94898760773245,214.1463016361179,214.78366085788758,6234200
2018-01-19,218.45523071289062,219.3529304261997,216.40847646237074,219.20030942086385,4293600
2018-01-22,218.64376831054688,218.85922120086806,216.66883142494578,218.67069820961046,4012200
2018-01-23,220.125,221.71391897135814,217.61143752337807,218.13210511264938,3300000
2018-01-24,219.80178833007812,222.0101220348945,218.77841116735107,220.84310962530475,2733300
2018-01-25,220.09800720214844,221.00469267123046,218.94895267502406,219.71200290376294,2420500
2018-01-26,223.0514678955078,223.2938506741716,219.4516966691689,219.93644852868476,2615300
2018-01-29,222.0999298095703,225.13414607868253,222.09094404420185,223.77862419590886,2564700
2018-01-30,212.440673828125,217.90767657728057,208.35615028036256,209.05635509985402,11565500
2018-01-31,212.55735778808594,221.73185085026603,211.64170015566512,217.99741639057615,5187400
2018-02-01,211.1569366455078,213.49096147855275,209.9091345388243,211.19283860853122,4268300
2018-02-02,208.1586456298828,212.12647732369012,207.53923054164775,209.16406507872082,3959900
2018-02-05,197.51194763183594,209.26283673730435,187.152482496234,207.18016626994483,6290000
2018-02-06,202.1439971923828,203.33793935042206,188.70544626120753,190.49185976788863,7064800
2018-02-07,202.71853637695312,205.83354148116362,198.8494394777961,199.58555974700388,5589200
2018-02-08,194.3161163330078,203.4457222001809,194.1365654040416,202.27870965096412,4902400
2018-02-09,198.35574340820312,200.43839971186333,190.3213196622938,195.698546112845,6225300
2018-02-12,202.6018524169922,204.67553658282637,199.42398773085327,199.68432832096505,4912000
2018-02-13,203.45468139648438,203.88557346355609,199.63945726012855,200.3217041744764,3536800
2018-02-14,205.37576293945312,205.87847264508335,201.01294128300208,201.93757099824597,2878400
2018-02-15,202.89813232421875,206.4709740396033,199.05597790313294,205.81565695738706,4662700
2018-02-16,205.90536499023438,206.96465770345495,202.61080890802276,202.87114947812182,3621700
2018-02-20,203.47265625,205.3488456947744,202.5300686449532,204.59478108986215,3172300
2018-02-21,202.0991668701172,205.88746124402314,202.08120903815114,203.01481083320004,3371900
2018-02-22,203.85865783691406,206.3273324509088,202.05428605026142,203.1494809748405,2767900
2018-02-23,206.6146240234375,206.7582593030825,202.79939923143263,204.5858133674409,2393900
2018-02-26,210.11561584472656,210.51957802064038,206.20164411575536,207.943183943014,3307000
2018-02-27,208.73312377929688,211.75836717774126,208.66130616447978,210.42078978516557,2899500
2018-02-28,203.02381896972656,210.73505806247118,202.9609733998265,210.43881544254344,4368600
2018-03-01,201.4886932373047,205.8335564614276,199.95363443393967,202.61081785290318,3514600
2018-03-02,202.15301513671875,202.7185703799829,199.81899023551864,200.37557341221773,2613600
2018-03-05,205.0166473388672,205.95922099881454,199.99849596118978,200.51916339402504,2627300
2018-03-06,203.04171752929688,205.70788681236027,200.98599118300828,205.50141971068842,2652800
2018-03-07,204.02024841308594,204.5139860693455,200.86034111083742,201.3989664990865,3242200
2018-03-08,202.4080352783203,205.34423509228859,201.67849308309874,205.29018322253864,3500900
2018-03-09,203.0384979248047,204.0202409248533,200.39953535926486,203.6509620781912,4834600
2018-03-12,200.6427001953125,204.45253881052412,200.6427001953125,203.74101399557642,3117300
2018-03-13,204.3985137939453,205.40726207519515,200.99397460156254,201.32721885665447,3343800
2018-03-14,202.9934844970703,206.6051747096958,202.6692419878276,204.56966068916233,3048200
2018-03-15,206.6862030029297,207.8390620427885,203.24564317111583,203.39875575918856,3330200
2018-03-16,205.22711181640625,208.29840647533499,205.12803735182263,206.84832408088207,5690300
2018-03-19,202.6962432861328,205.3262039669664,201.46231325854865,204.73175712826145,3407300
2018-03-20,204.25439453125,204.99295216605486,201.6424512352841,202.7953102928435,3429100
2018-03-21,200.68775939941406,204.84886000989687,200.68775939941406,203.95718970343688,3419800
2018-03-22,193.83363342285156,199.6429652617113,193.73455894992745,199.63394974579535,5894800
2018-03-23,191.4378204345703,196.1032944100147,191.39278408968133,194.31996784634705,5741200
2018-03-26,197.31019592285156,197.6164210645843,193.37425045044043,193.81558462046394,3561300
2018-03-27,196.3104705810547,199.90414298147923,194.91442626503436,198.4360570011262,3722100
2018-03-28,196.7967987060547,198.0667493095647,195.48181176153108,197.14806017690194,3179500
2018-03-29,192.74380493164062,201.16509349484468,192.74380493164062,197.58942461231393,5529400
2018-04-02,195.62594604492188,200.84084436500996,193.31122626503426,196.76080150481843,6220700
2018-04-03,202.27288818359375,202.74124139937834,197.86860333322545,198.45403454558473,4652000
2018-04-04,206.0647430419922,206.68620892756044,198.52612271899176,198.7693080096846,4674000
2018-04-05,206.31689453125,208.57757578756102,204.2723657099629,206.6681559813248,3348100
2018-04-06,201.71449279785156,205.52433123837162,199.78705540487923,204.13728876100578,3231700
2018-04-09,200.60670471191406,203.66899827682795,200.27346041324637,203.1736258442365,3031500
2018-04-10,204.26336669921875,205.49729650253582,201.29116053222234,203.01143335363577,2737500
2018-04-11,199.85911560058594,203.0024658957209,199.66998217269062,201.99371763184087,3482100
