date,total_value,cash,positions
2026-02-05,96161.48213058455,7860.000000000002,"{'AAPL': 48.687590376222005, 'MSFT': 26.461739644573807, 'GOOGL': 27.969985225544235, 'AMZN': 38.96103896103896, 'NVDA': 44.92858393996451, 'TLT': 175.04683380673887, 'BND': 204.88137632165777, 'BTC-USD': 0.13588355628498602, 'ETH-USD': 0.0}"
2026-02-06,98419.44101113318,128.616836701005,"{'AAPL': 48.687590376222005, 'MSFT': 26.461739644573807, 'GOOGL': 27.969985225544235, 'AMZN': 38.96103896103896, 'NVDA': 44.92858393996451, 'TLT': 175.04683380673887, 'BND': 204.88137632165777, 'BTC-USD': 0.13588355628498602, 'ETH-USD': 4.222973000821263}"
2026-02-09,98888.35395988911,128.616836701005,"{'AAPL': 48.687590376222005, 'MSFT': 26.461739644573807, 'GOOGL': 27.969985225544235, 'AMZN': 38.96103896103896, 'NVDA': 44.92858393996451, 'TLT': 175.04683380673887, 'BND': 204.88137632165777, 'BTC-USD': 0.13588355628498602, 'ETH-USD': 4.222973000821263}"
2026-02-10,98222.45356838495,128.616836701005,"{'AAPL': 48.687590376222005, 'MSFT': 26.461739644573807, 'GOOGL': 27.969985225544235, 'AMZN': 38.96103896103896, 'NVDA': 44.92858393996451, 'TLT': 175.04683380673887, 'BND': 204.88137632165777, 'BTC-USD': 0.13588355628498602, 'ETH-USD': 4.222973000821263}"
2026-02-11,97128.58183353824,128.616836701005,"{'AAPL': 48.687590376222005, 'MSFT': 26.461739644573807, 'GOOGL': 27.969985225544235, 'AMZN': 38.96103896103896, 'NVDA': 44.92858393996451, 'TLT': 175.04683380673887, 'BND': 204.88137632165777, 'BTC-USD': 0.13588355628498602, 'ETH-USD': 4.222973000821263}"
2026-02-12,96216.87706,128.616836701005,"{'AAPL': 48.687590376222005, 'MSFT': 26.461739644573807, 'GOOGL': 27.969985225544235, 'AMZN': 38.96103896103896, 'NVDA': 44.92858393996451, 'TLT': 175.04683380673887, 'BND': 204.88137632165777, 'BTC-USD': 0.13588355628498602, 'ETH-USD': 4.222973000821263}"
2026-02-13,96521.79397263066,128.616836701005,"{'AAPL': 48.687590376222005, 'MSFT': 26.461739644573807, 'GOOGL': 27.969985225544235, 'AMZN': 38.96103896103896, 'NVDA': 44.92858393996451, 'TLT': 175.04683380673887, 'BND': 204.88137632165777, 'BTC-USD': 0.13588355628498602, 'ETH-USD': 4.222973000821263}"
2026-02-17,96484.83019924753,128.616836701005,"{'AAPL': 48.687590376222005, 'MSFT': 26.461739644573807, 'GOOGL': 27.969985225544235, 'AMZN': 38.96103896103896, 'NVDA': 44.92858393996451, 'TLT': 175.04683380673887, 'BND': 204.88137632165777, 'BTC-USD': 0.13588355628498602, 'ETH-USD': 4.222973000821263}"
2026-02-18,96511.69527935203,128.616836701005,"{'AAPL': 48.687590376222005, 'MSFT': 26.461739644573807, 'GOOGL': 27.969985225544235, 'AMZN': 38.96103896103896, 'NVDA': 44.92858393996451, 'TLT': 175.04683380673887, 'BND': 204.88137632165777, 'BTC-USD': 0.13588355628498602, 'ETH-USD': 4.222973000821263}"
2026-02-19,96377.45913790884,128.616836701005,"{'AAPL': 48.687590376222005, 'MSFT': 26.461739644573807, 'GOOGL': 27.969985225544235, 'AMZN': 38.96103896103896, 'NVDA': 44.92858393996451, 'TLT': 175.04683380673887, 'BND': 204.88137632165777, 'BTC-USD': 0.13588355628498602, 'ETH-USD': 4.222973000821263}"
2026-02-20,97361.29519493936,128.616836701005,"{'AAPL': 48.687590376222005, 'MSFT': 26.461739644573807, 'GOOGL': 27.969985225544235, 'AMZN': 38.96103896103896, 'NVDA': 44.92858393996451, 'TLT': 175.04683380673887, 'BND': 204.88137632165777, 'BTC-USD': 0.13588355628498602, 'ETH-USD': 4.222973000821263}"
2026-02-23,96043.2059633289,128.616836701005,"{'AAPL': 48.687590376222005, 'MSFT': 26.461739644573807, 'GOOGL': 27.969985225544235, 'AMZN': 38.96103896103896, 'NVDA': 44.92858393996451, 'TLT': 175.04683380673887, 'BND': 204.88137632165777, 'BTC-USD': 0.13588355628498602, 'ETH-USD': 4.222973000821263}"
2026-02-24,96559.38718094231,128.616836701005,"{'AAPL': 48.687590376222005, 'MSFT': 26.461739644573807, 'GOOGL': 27.969985225544235, 'AMZN': 38.96103896103896, 'NVDA': 44.92858393996451, 'TLT': 175.04683380673887, 'BND': 204.88137632165777, 'BTC-USD': 0.13588355628498602, 'ETH-USD': 4.222973000821263}"
2026-02-25,98603.29449501372,128.616836701005,"{'AAPL': 48.687590376222005, 'MSFT': 26.461739644573807, 'GOOGL': 27.969985225544235, 'AMZN': 38.96103896103896, 'NVDA': 44.92858393996451, 'TLT': 175.04683380673887, 'BND': 204.88137632165777, 'BTC-USD': 0.13588355628498602, 'ETH-USD': 4.222973000821263}"
2026-02-26,97729.58444983754,128.616836701005,"{'AAPL': 48.687590376222005, 'MSFT': 26.461739644573807, 'GOOGL': 27.969985225544235, 'AMZN': 38.96103896103896, 'NVDA': 44.92858393996451, 'TLT': 175.04683380673887, 'BND': 204.88137632165777, 'BTC-USD': 0.13588355628498602, 'ETH-USD': 4.222973000821263}"
2026-02-27,96429.46855181229,128.616836701005,"{'AAPL': 48.687590376222005, 'MSFT': 26.461739644573807, 'GOOGL': 27.969985225544235, 'AMZN': 38.96103896103896, 'NVDA': 44.92858393996451, 'TLT': 175.04683380673887, 'BND': 204.88137632165777, 'BTC-USD': 0.13588355628498602, 'ETH-USD': 4.222973000821263}"
2026-03-02,97218.62579382255,128.616836701005,"{'AAPL': 48.687590376222005, 'MSFT': 26.461739644573807, 'GOOGL': 27.969985225544235, 'AMZN': 38.96103896103896, 'NVDA': 44.92858393996451, 'TLT': 175.04683380673887, 'BND': 204.88137632165777, 'BTC-USD': 0.13588355628498602, 'ETH-USD': 4.222973000821263}"
2026-03-03,96834.5019103641,128.616836701005,"{'AAPL': 48.687590376222005, 'MSFT': 26.461739644573807, 'GOOGL': 27.969985225544235, 'AMZN': 38.96103896103896, 'NVDA': 44.92858393996451, 'TLT': 175.04683380673887, 'BND': 204.88137632165777, 'BTC-USD': 0.13588355628498602, 'ETH-USD': 4.222973000821263}"
