Date,Close,High,Low,Open,Volume,SMA20,EMA20,RSI14,Bollinger_Upper,Bollinger_Lower,MACD,MACD_Signal
2018-01-02,35.98474884033203,36.01163886333707,35.49401746017195,35.7360225384698,16045300,,35.98474884033203,,,,0.0,0.0
2018-01-03,35.24530029296875,35.85703437082321,35.07724145219144,35.83014434084898,16662400,,35.91432516915458,,,,-0.058987348507614,-0.011797469701522801
2018-01-04,35.35957717895508,35.554526039259734,34.841958233748485,35.20496336145029,12062800,,35.86149202723082,,,,-0.09541418223395226,-0.028520812208008697
2018-01-05,35.278907775878906,35.54780291811944,35.19151646999462,35.494022863921685,13348900,,35.80600781281635,,,,-0.12930154927651216,-0.0486769596217094
2018-01-08,35.21840286254883,35.46040795271552,34.98312156065002,35.332684183738145,16212700,,35.750045436600395,,,,-0.15920456156381135,-0.0707824800101298
2018-01-09,35.089229583740234,35.65353864410814,35.048435126506185,35.43597339269131,14677800,,35.68711059347086,,,,-0.19112297164755887,-0.09485057833761562
2018-01-10,35.143619537353516,35.17081584212789,34.776479797229,34.93965243871048,12593400,,35.6353495405073,,,,-0.2096134337138409,-0.11780314941286069
2018-01-11,35.429176330566406,35.47676856817848,35.109626226386126,35.27959924459565,15568200,,35.615713996703406,,,,-0.19893204660105113,-0.13402892885049877
2018-01-12,35.25920104980469,35.517560747107524,35.2048084425484,35.31359106347871,17673700,,35.58176038271305,,,,-0.20185568825036881,-0.1475942807304728
2018-01-16,35.123226165771484,35.36798773941727,34.96005091881344,35.136824319149866,14739200,,35.538090457290046,,,,-0.2126929402546054,-0.1606140126352993
2018-01-17,35.16401290893555,35.28639366890119,34.8172665578389,35.225203288918365,11591500,,35.50246402411343,,,,-0.21550617025903307,-0.1715924441600461
2018-01-18,35.048439025878906,36.238250261631414,34.9396563880677,35.28640282917901,29442600,,35.45922354809109,,,,-0.2244739260874269,-0.18216874054552226
2018-01-19,35.29319763183594,35.29999541143323,34.783278573818514,35.1776172236049,23761300,,35.44341155606679,,,,-0.20941693515199233,-0.1876183794668163
2018-01-22,36.3470344543457,36.36743298289603,35.361190298117585,35.3883866071295,27691300,,35.529470879712406,,,,-0.11116687453055363,-0.17232807847956377
2018-01-23,36.19065475463867,37.12210616896236,35.90510132873982,37.12210616896236,33000500,,35.592440772562526,53.04476928301231,,,-0.04539820621938162,-0.14694210402752736
2018-01-24,36.86375045776367,37.01332495598886,36.37422731627119,36.59179258058284,21080400,,35.713517885438826,74.41136024948361,,,0.060341555313236483,-0.10548537215937459
2018-01-25,36.91133117675781,37.23767897136818,36.720959684715474,36.90453080548038,18638700,,35.82759534175492,73.88595097420938,,,0.14629405768376103,-0.055129486190747465
2018-01-26,37.20369338989258,37.22408932121814,36.945333687578795,37.04731853137122,13077600,,35.95865229872041,77.8152270384397,,,0.23529093486020258,0.0029545980194425475
2018-01-29,36.80256271362305,37.1085146990741,36.306241756594765,36.42862255077519,17052600,,36.039024719187324,70.84105358035447,,,0.2703374264514693,0.0564311637058479
2018-01-30,36.646183013916016,37.0541172118428,36.57139447246021,36.91813828133974,15401500,35.78011245727539,36.096849318685294,70.33754223015058,37.28083995932014,34.27938495523065,0.2822400016366444,0.10159293129200721
2018-01-31,36.76175308227539,36.99971419855859,36.39461085122561,36.70736308151708,17827000,35.81896266937256,36.16017348664626,70.80418414310209,37.38097384972873,34.25695148901639,0.2975682354925979,0.14078799213212534
2018-02-01,36.91813659667969,37.22408852795467,36.720967286126665,37.04731774187483,18646100,35.902604484558104,36.23236044950659,69.8011172821594,37.51365844760732,34.29155052150889,0.3186614827055223,0.17636269024680473
2018-02-02,36.02067947387695,36.89774081590611,35.96628946008581,36.89774081590611,15574000,35.9356595993042,36.21220035658948,58.48487347308663,37.526806876722766,34.34451232188564,0.2599640400110914,0.19308296019966206
2018-02-05,34.33454513549805,36.16345363575879,34.33454513549805,35.70792725214782,22239600,35.888441467285155,36.03337604981887,43.46840414588962,37.61217452797108,34.16470840659923,0.07650701899792978,0.1697677719593156
2018-02-06,34.55891799926758,34.674498415733694,33.36230640545559,33.613865765797975,34543900,35.85546722412109,35.89295147357589,45.13668734769763,37.65665977131458,34.054274676927605,-0.05020029914755497,0.12577415773794148
2018-02-07,34.681297302246094,35.30679942659914,34.33455344820302,34.422940153579766,16066600,35.83507061004639,35.77755583821115,47.052406427594015,37.681468740056374,33.9886724800364,-0.13913787980288816,0.07279175022977555
2018-02-08,33.3419075012207,34.72888793674476,33.314711196151826,34.59970678445878,23308900,35.744985008239745,35.54558932992635,36.675979676349044,37.88577104917841,33.60419896730108,-0.3140786136767133,-0.0045823225515222235
2018-02-09,33.91301345825195,34.19856685141313,32.88637509274664,33.722641935895695,27707900,35.66917686462402,35.39010591357641,32.20672484874444,37.95922537219675,33.37912835705129,-0.40200288878703105,-0.084066435798624
2018-02-12,34.069393157958984,34.4433332899837,33.70905117900931,34.14418170308043,16903000,35.60968647003174,35.26432374637476,34.49307080009281,38.00402083052882,33.215352109534656,-0.4538334657340215,-0.1580198417857035
2018-02-13,34.04899215698242,34.171370329276876,33.43028795528302,33.933409169840274,11871700,35.55597476959228,35.14857788071834,27.25273939325183,38.04267201134646,33.0692775278381,-0.4908970065455023,-0.22459527473766328
2018-02-14,33.66146469116211,34.062601228778995,33.53228609529954,33.83143775636277,17559200,35.48084735870361,35.006948053141556,25.10433914063472,38.1044267476273,32.857267969779926,-0.5452549972575937,-0.28872721924164935
2018-02-15,33.817832946777344,33.84502665865075,33.28071758514537,33.688651792653296,18902700,35.41931705474853,34.89369899539258,23.51063086852534,38.14146683404205,32.697167275455016,-0.5691556134956812,-0.34481289809245574
2018-02-16,34.09659957885742,34.30736453008758,33.783847152518675,33.783847152518675,12264000,35.35948715209961,34.81778476524637,28.416581471203926,38.14516689779465,32.57380740640457,-0.5591572696587761,-0.3876817724057199
2018-02-20,33.26033020019531,33.91982656370211,33.15154753551636,33.885832467286804,21330400,35.20515193939209,34.66945575905103,25.63610720561907,38.10033408595392,32.30996979283026,-0.6116625943560905,-0.43247793679579405
2018-02-21,32.60762023925781,33.21952408685637,32.594022087802045,33.178729632489066,20889900,35.02600021362305,34.47309047145168,22.252673752507874,38.10218810436097,31.94981232288513,-0.6978967619361072,-0.4855617018238567
2018-02-22,32.54643249511719,33.110744155196464,32.485242105392715,32.804792206574106,21198300,34.81013431549072,34.2895992356103,20.42328692314601,37.94861853233709,31.671650098644353,-0.7623869780976449,-0.5409267570786144
2018-02-23,32.83198547363281,32.83878325249211,32.32206647097429,32.69600655420744,26371400,34.606167030334475,34.15077887732673,26.479511298822985,37.69958573613336,31.512748324535597,-0.7814461750594504,-0.5890306406747816
2018-02-26,33.37589645385742,33.41669090518815,32.940766013991,33.12433715460627,20853900,34.41477718353271,34.076980551282034,41.495795680352586,37.29803950462722,31.531514862438208,-0.7440843147117846,-0.6200413754821823
2018-02-27,32.662017822265625,33.43029404472339,32.662017822265625,33.328311783637915,23234700,34.207749938964845,33.942222196137614,34.5171930860249,36.96078262843329,31.454717249496394,-0.7632801917206606,-0.648689138729878
2018-02-28,32.458045959472656,33.287512454703986,32.44444780793349,33.151533532894554,22159100,33.99834308624268,33.80087207836,32.09198654407038,36.603586028933194,31.393100143552164,-0.785892606446474,-0.6761298322731972
2018-03-01,32.60762023925781,33.042750711513584,32.301668315458535,32.42404908497824,28950200,33.790636444091795,33.68722904606455,42.68289067043757,36.11553442721478,31.46573846096881,-0.7827209933120827,-0.6974480644809743
2018-03-02,32.81158447265625,32.85917929540662,32.47163849654941,32.51923331929978,17449900,33.58530883789062,33.60383432478757,38.15785696063707,35.42112573866964,31.74949193711161,-0.7550455627697374,-0.708967564138727
2018-03-05,33.11754608154297,33.273920965178995,32.64842143063489,32.736808136544894,15348400,33.440152168273926,33.557521158764274,40.08501926801414,34.88200223928468,31.99830209726317,-0.7003508314334113,-0.7072442175976639
2018-03-06,33.239925384521484,33.239925384521484,32.838788929342265,33.14474090254381,13526900,33.385421180725096,33.52727394216972,41.74762419107324,34.76612791010993,32.00471445134026,-0.6397551763718141,-0.6937464093524939
2018-03-07,33.205928802490234,33.457488142186754,32.94756908968757,33.00196170020704,16738200,33.31777172088623,33.49666964315263,44.992451944043744,34.584243100419144,32.05130034135331,-0.5877012688203891,-0.672537381246073
2018-03-08,33.321510314941406,33.335108468022405,32.852385704768196,33.239923990037916,17038500,33.24978237152099,33.47998780237061,44.494731176607985,34.342063641505646,32.15750110153634,-0.531000664830195,-0.6442300379628975
2018-03-09,33.321510314941406,33.4710874052499,32.87278163759844,33.45069147241965,14927100,33.24876251220703,33.46489470832974,40.835889881841,34.34071964715629,32.15680537725777,-0.4805258250677298,-0.6114891953838639
