Date,Close,High,Low,Open,Volume,SMA20,EMA20,RSI14,Bollinger_Upper,Bollinger_Lower,MACD,MACD_Signal
2018-01-02,32.50230026245117,32.83342216032187,32.36188835854662,32.78312407026027,4766400,,32.50230026245117,,,,0.0,0.0
2018-01-03,31.812807083129883,32.65737606292962,31.808614777149355,32.292722189643854,11008000,,32.43663424537296,,,,-0.05500230490312674,-0.011000460980625348
2018-01-04,31.649354934692383,32.07059071646909,31.567622523368726,31.752042488682175,13629200,,32.36165526340338,,,,-0.11050738976066299,-0.030901846736632876
2018-01-05,31.7939510345459,31.842151367918262,31.561327585254286,31.72479236607618,10318000,,32.30758819398838,,,,-0.141200204521013,-0.052961518293508904
2018-01-08,32.055912017822266,32.11459151468597,31.752032168886902,31.793948836183326,7225200,,32.283619034353514,,,,-0.14274099001752205,-0.07091741263831154
2018-01-09,31.821191787719727,32.17955883798735,31.710119651194297,32.17955883798735,6527600,,32.239578344197916,,,,-0.1610456011125052,-0.08894305033315028
2018-01-10,31.55922508239746,31.7729879165991,31.46911129018835,31.622096880432352,7042800,,32.174782795455016,,,,-0.19444917204041445,-0.11004427467460312
2018-01-11,31.540374755859375,31.66611839280745,31.387389115880914,31.540374755859375,7550400,,32.114362982160195,,,,-0.2199078457158521,-0.1320169888828529
2018-01-12,31.502649307250977,31.743654181261448,31.28050181909142,31.462830387696027,6386400,,32.05610453693075,,,,-0.24035746519994206,-0.15368508414627075
2018-01-16,31.548748016357422,31.66191789991148,31.240682261286864,31.527792880812644,7471600,,32.00778486830471,,,,-0.24996274053425793,-0.17294061542386818
2018-01-17,31.829574584960938,32.01189993116064,31.557132243860615,31.63467232023655,9304400,,31.99081246036721,,,,-0.23223754347984382,-0.18480000103506333
2018-01-18,31.599050521850586,31.867300597605745,31.481691513431848,31.867300597605745,7951200,,31.953501799556104,,,,-0.23409308309012644,-0.194658617446076
2018-01-19,31.469118118286133,31.701741583034604,31.423012336242785,31.661922662379602,8988000,,31.907370020387535,,,,-0.24324410405955632,-0.20437571476877206
2018-01-22,31.439777374267578,31.708027444353835,31.351758119813628,31.53198893544593,7438800,,31.862837387423728,,,,-0.24998226697372417,-0.2134970252097625
2018-01-23,32.005619049072266,32.085256892307406,31.43558681893217,31.43558681893217,10592400,,31.876435640914064,41.97692446100796,,,-0.20727428645797374,-0.21225247745940476
2018-01-24,31.613710403442383,31.902915511619145,31.4523402271476,31.840043723653075,7874400,,31.851414189726285,46.44183623938523,,,-0.20271488557471073,-0.21034495908246598
2018-01-25,32.083168029785156,32.13765844195762,31.43559552935112,31.609539541682157,9845200,,31.873485984017606,56.98853102056894,,,-0.15938295303113392,-0.2001525578721996
2018-01-26,33.04718780517578,33.36992511608711,32.42057057173503,32.45410263457591,14587200,,31.985267109842194,65.97223066275848,,,-0.046715240858642204,-0.16946509446948813
2018-01-29,32.625938415527344,32.965444846961994,32.58612270116823,32.94448651494773,10057200,,32.046283424669355,56.98140428875912,,,0.008485610710344815,-0.13387495343352154
2018-01-30,32.50438690185547,32.79359202690148,32.334632105107744,32.58821382550518,7823200,31.90020227432251,32.08991232725851,58.60600378750565,32.798112293126856,31.002292255518164,0.04194102198048455,-0.09871175835072032
2018-01-31,33.20016860961914,33.27561414112642,32.403799820996355,32.53163799388943,12930800,31.935095691680907,32.19565102081666,68.6339206851904,32.974598698737225,30.89559268462459,0.1231785200680875,-0.054333702666958764
2018-02-01,32.764259338378906,33.45584279966769,32.62384745224761,33.23998538689048,8848000,31.982668304443358,32.249804193917825,62.69545686930289,33.08386245650108,30.881474152385636,0.15064899955267919,-0.013337162223031176
2018-02-02,32.67624282836914,32.990598682769836,32.5002043173751,32.58403126609804,9291200,32.034012699127196,32.2904173971989,62.048080240514764,33.165123801025096,30.902901597229295,0.16343339721586858,0.022016949664748774
2018-02-05,32.33463668823242,33.170824280555735,32.24242833826495,32.70138512731925,14612400,32.06104698181152,32.294628758249715,57.606405720754346,33.19384386277224,30.9282501008508,0.14433654207251578,0.04648086814630218
2018-02-06,31.34337043762207,32.139739154254855,30.838304652849466,31.819096473782597,16941200,32.02541990280152,32.20403272771375,45.863082206698046,33.2028376083394,30.848002197263632,0.04865438722977444,0.04691557196299664
2018-02-07,31.03529930114746,31.578086211290323,30.99338583432658,31.353847405012722,11514800,31.9861252784729,32.092724782326485,45.26573991554294,33.242078050468756,30.730172506477047,-0.05144020522595838,0.027244416525205636
