Date,Close,High,Low,Open,Volume,SMA20,EMA20,RSI14,Bollinger_Upper,Bollinger_Lower,MACD,MACD_Signal
2018-01-02,103.66718292236328,103.95511306301414,101.54240089653162,102.14806168226164,4669200,,103.66718292236328,,,,0.0,0.0
2018-01-03,104.5409164428711,105.38486761284926,103.87568496801545,104.15369169929153,3888700,,103.75039563860213,,,,0.06969954009748847,0.013939908019497694
2018-01-04,105.92103576660156,106.89406698448876,105.01750623748373,105.24587325779221,4540200,,103.95712326984018,,,,0.23360813391762747,0.057873553199123656
2018-01-05,107.33092498779297,107.52950664017551,106.43732648986021,106.99334754141586,3368400,,104.278437719169,,,,0.47183414234564225,0.1406656710284274
2018-01-08,108.08551788330078,108.36352461577656,106.80469465858138,107.23163573348785,2933600,,104.64101678241964,,,,0.7132968683357745,0.25519191048989687
2018-01-09,108.37345123291016,108.56209432229367,107.47985278938418,108.22451689646999,3302300,,104.9964867300854,,,,0.9173173696548815,0.3876170023228938
2018-01-10,108.02593994140625,108.7110257505197,107.45999553816566,107.90679096041856,3113300,,105.28500608354452,,,,1.0389870341051193,0.5178910086793389
2018-01-11,108.32381439208984,108.62168309374141,107.89687329311768,108.22452734991124,3668100,,105.57441639864408,,,,1.1462340261465016,0.6435596121727715
2018-01-12,109.45570373535156,109.92236116791163,108.13517167686453,108.45289475805839,5749500,,105.94406281166383,,,,1.3074901182209402,0.7763457133824052
2018-01-16,108.11531066894531,110.64717193896901,107.46001012236435,110.06136550516891,5790800,,106.15084832188111,,,,1.312004246392462,0.8834774199844166
2018-01-17,109.25712585449219,109.59470330241949,108.45289099021728,108.96918813855186,4254700,,106.44668427736788,,,,1.391674313221273,0.9851167986317879
2018-01-18,110.97480773925781,111.37196344976194,109.43583977683758,109.44577075275684,3842800,,106.87793413088121,,,,1.5752574012511218,1.1031449191556548
2018-01-19,111.13367462158203,111.60033201987521,110.81595156371874,111.41168135032302,3120900,,107.2832427490432,,,,1.713811795291818,1.2252782943828875
2018-01-22,112.08684539794922,112.1563470811283,110.22022335320014,110.83580752561046,2214700,,107.74072871560568,,,,1.8788716041758846,1.355996956341487
